,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
226,0.926,0.641,0.413,0.0,0.191,-5.624,0.0435,143.522,0.834
227,0.379,0.786,0.61,0.00082,0.0765,-6.736,0.0558,130.036,0.228
228,0.782,0.158,0.172,4.69e-05,0.14,-17.089,0.035,81.421,0.197
229,0.247,0.636,0.647,0.00123,0.113,-6.971,0.0381,158.073,0.416
230,0.0742,0.299,0.933,1.21e-05,0.0723,-6.874,0.17,180.092,0.205
231,0.897,0.638,0.0389,0.849,0.0731,-17.75,0.115,79.888,0.48
232,0.233,0.489,0.577,0.0,0.123,-9.765,0.042,78.112,0.519
233,0.976,0.52,0.199,0.905,0.112,-22.625,0.0402,107.975,0.439
234,0.995,0.213,0.0488,0.91,0.117,-28.145,0.0367,95.497,0.386
235,0.976,0.52,0.199,0.905,0.112,-22.625,0.0402,107.975,0.439
236,0.995,0.213,0.0488,0.91,0.117,-28.145,0.0367,95.497,0.386
237,0.126,0.489,0.54,0.0,0.103,-7.046,0.0288,81.4,0.27
238,0.0164,0.445,0.662,0.0,0.219,-4.802,0.181,200.04,0.479
239,0.0079,0.653,0.91,0.0,0.318,-3.36,0.0566,126.047,0.0921
240,0.0178,0.729,0.735,0.000193,0.089,-5.455,0.0919,121.986,0.544
241,0.451,0.347,0.6,0.0,0.279,-5.254,0.0303,172.062,0.158
242,0.959,0.24,0.124,0.0237,0.103,-14.542,0.0308,80.986,0.113
243,0.3,0.751,0.834,1.77e-05,0.355,-5.444,0.0437,95.053,0.894
244,0.724,0.726,0.371,0.00299,0.132,-14.008,0.0623,160.24,0.568
245,0.0193,0.766,0.74,0.0784,0.229,-10.363,0.0807,118.008,0.183
246,0.311,0.616,0.849,0.0,0.311,-4.897,0.0373,113.065,0.638
247,0.25,0.549,0.722,0.0138,0.11,-11.729,0.0283,103.885,0.716
248,2.17e-05,0.457,0.902,0.196,0.258,-5.624,0.0313,92.711,0.834
249,0.00314,0.696,0.921,5.24e-05,0.0842,-3.755,0.0363,119.001,0.714
